
NOTICE: Existing SQLite export found: enc_N1024.sqlite
        It is assumed file was previously exported from: enc_N1024.nsys-rep
        Consider using --force-export=true if needed.

Processing [enc_N1024.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     22.7        6,048,704          6  1,008,117.3  1,051,200.0    788,352  1,056,480    107,686.0  void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_nn_align1>(T1::Params)                        
     12.1        3,235,552          4    808,888.0    475,856.0      2,208  2,281,632  1,074,015.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      8.9        2,383,392          2  1,191,696.0  1,191,696.0  1,185,856  1,197,536      8,259.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<void …
      7.7        2,061,856          2  1,030,928.0  1,030,928.0    113,472  1,948,384  1,297,478.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      7.6        2,027,744          3    675,914.7  1,011,808.0      1,056  1,014,880    584,446.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at:…
      6.7        1,788,640          1  1,788,640.0  1,788,640.0  1,788,640  1,788,640          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      4.4        1,186,240          1  1,186,240.0  1,186,240.0  1,186,240  1,186,240          0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.3        1,136,928          1  1,136,928.0  1,136,928.0  1,136,928  1,136,928          0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.2        1,108,928          1  1,108,928.0  1,108,928.0  1,108,928  1,108,928          0.0  void magma_sgemmEx_kernel<float, float, float, (bool)0, (bool)0, (int)6, (int)3, (int)5, (int)3, (i…
      3.4          908,320          1    908,320.0    908,320.0    908,320    908,320          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      2.8          753,760          3    251,253.3    369,440.0      1,472    382,848    216,420.8  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
      2.5          658,912          3    219,637.3    327,264.0        704    330,944    189,610.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      2.3          606,208          1    606,208.0    606,208.0    606,208    606,208          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      2.3          602,496          1    602,496.0    602,496.0    602,496    602,496          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      2.2          591,200          1    591,200.0    591,200.0    591,200    591,200          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
      2.0          544,672          1    544,672.0    544,672.0    544,672    544,672          0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.4          381,184          1    381,184.0    381,184.0    381,184    381,184          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.2          317,760          1    317,760.0    317,760.0    317,760    317,760          0.0  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.5          146,528          1    146,528.0    146,528.0    146,528    146,528          0.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
