Generating SQLite file enc_N4096.sqlite from enc_N4096.nsys-rep
Processing [enc_N4096.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     23.2       25,678,144         24  1,069,922.7  1,060,128.0      2,752  1,371,136    247,104.1  void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_nn_align1>(T1::Params)                        
     12.7       14,046,112          4  3,511,528.0  2,024,096.0     14,176  9,983,744  4,681,944.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      8.5        9,384,640          2  4,692,320.0  4,692,320.0  4,692,256  4,692,384         90.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<void …
      7.4        8,196,352          2  4,098,176.0  4,098,176.0    440,512  7,755,840  5,172,718.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      7.3        8,041,664          3  2,680,554.7  3,984,800.0      6,560  4,050,304  2,315,978.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at:…
      6.4        7,087,008          1  7,087,008.0  7,087,008.0  7,087,008  7,087,008          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      4.4        4,867,488          1  4,867,488.0  4,867,488.0  4,867,488  4,867,488          0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.3        4,755,584          1  4,755,584.0  4,755,584.0  4,755,584  4,755,584          0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      4.0        4,462,848          1  4,462,848.0  4,462,848.0  4,462,848  4,462,848          0.0  void magma_sgemmEx_kernel<float, float, float, (bool)0, (bool)0, (int)6, (int)3, (int)5, (int)3, (i…
      3.3        3,624,960          1  3,624,960.0  3,624,960.0  3,624,960  3,624,960          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      2.8        3,063,008          3  1,021,002.7  1,468,224.0      5,088  1,589,696    881,901.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      2.7        2,973,440          3    991,146.7  1,474,496.0      4,064  1,494,880    854,899.4  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
      2.3        2,545,920          1  2,545,920.0  2,545,920.0  2,545,920  2,545,920          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
      2.2        2,445,376          1  2,445,376.0  2,445,376.0  2,445,376  2,445,376          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      2.1        2,367,936          1  2,367,936.0  2,367,936.0  2,367,936  2,367,936          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…
      2.1        2,364,768          1  2,364,768.0  2,364,768.0  2,364,768  2,364,768          0.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.4        1,529,728          1  1,529,728.0  1,529,728.0  1,529,728  1,529,728          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.1        1,271,744          1  1,271,744.0  1,271,744.0  1,271,744  1,271,744          0.0  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.9          999,200          1    999,200.0    999,200.0    999,200    999,200          0.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.5          541,344          1    541,344.0    541,344.0    541,344    541,344          0.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4          428,864          3    142,954.7    142,016.0    141,920    144,928      1,709.6  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool…
      0.0            1,760          1      1,760.0      1,760.0      1,760      1,760          0.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool…

